fund_name,ticker,assets,manager,inception_date,company,expense_ratio
Vanguard Dividend Growth Fund,VDIGX,32570000000,Donald J. Kilbride,1992-03-15,Vanguard,0.26
Vanguard Mega Cap Growth Index Fund,VMGAX,37100000,O'Reilly and Johnson,2008-04-03,Vanguard,0.06
Vanguard Russell 1000 Index Fund,VRNIX,1980000000,Johnson and Nejman,2010-10-15,Vanguard,0.08
Vanguard Financial Index Fund,VFAIX,683400000,Coleman and Louie,2004-02-04,Vanguard,0.1
Vanguard 500 Index Fund,VFIAX,237580000000,Butler and Louie,2000-11-13,Vanguard,0.04
